cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
los_angeles_pierce,UCSD,1,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCLA,1,IGETC,success,4,57,False,15,15,15,12,0,0,
los_angeles_pierce,UCI,1,IGETC,success,4,48,False,15,15,15,3,0,0,
los_angeles_pierce,UCR,1,IGETC,success,4,51,False,15,15,15,6,0,0,
los_angeles_pierce,UCSB,1,IGETC,success,4,57,False,15,15,15,12,0,0,
los_angeles_pierce,UCD,1,IGETC,success,5,63,True,15,15,15,15,3,0,
los_angeles_pierce,UCB,1,IGETC,success,4,51,False,15,15,15,6,0,0,
los_angeles_pierce,UCSC,1,IGETC,success,4,54,False,15,15,15,9,0,0,
los_angeles_pierce,UCM,1,IGETC,success,4,57,False,15,15,15,12,0,0,
los_angeles_pierce,UCLA+UCSD,2,IGETC,success,5,63,True,15,15,15,15,3,0,
los_angeles_pierce,UCI+UCSD,2,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCR+UCSD,2,IGETC,success,5,63,True,15,15,15,15,3,0,
los_angeles_pierce,UCSB+UCSD,2,IGETC,success,5,66,True,15,15,15,15,6,0,
los_angeles_pierce,UCD+UCSD,2,IGETC,success,5,66,True,15,15,15,15,6,0,
los_angeles_pierce,UCB+UCSD,2,IGETC,success,5,63,True,15,15,15,15,3,0,
los_angeles_pierce,UCSC+UCSD,2,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCM+UCSD,2,IGETC,success,5,63,True,15,15,15,15,3,0,
los_angeles_pierce,UCI+UCLA,2,IGETC,success,4,57,False,15,15,15,12,0,0,
los_angeles_pierce,UCLA+UCR,2,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCLA+UCSB,2,IGETC,success,5,66,True,15,15,15,15,6,0,
los_angeles_pierce,UCD+UCLA,2,IGETC,success,5,69,True,15,15,15,15,9,0,
los_angeles_pierce,UCB+UCLA,2,IGETC,success,4,57,False,15,15,15,12,0,0,
los_angeles_pierce,UCLA+UCSC,2,IGETC,success,5,66,True,15,15,15,15,6,0,
los_angeles_pierce,UCLA+UCM,2,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCI+UCR,2,IGETC,success,4,51,False,15,15,15,6,0,0,
los_angeles_pierce,UCI+UCSB,2,IGETC,success,5,63,True,15,15,15,15,3,0,
los_angeles_pierce,UCD+UCI,2,IGETC,success,5,63,True,15,15,15,15,3,0,
los_angeles_pierce,UCB+UCI,2,IGETC,success,4,57,False,15,15,15,12,0,0,
los_angeles_pierce,UCI+UCSC,2,IGETC,success,4,57,False,15,15,15,12,0,0,
los_angeles_pierce,UCI+UCM,2,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCR+UCSB,2,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCD+UCR,2,IGETC,success,5,63,True,15,15,15,15,3,0,
los_angeles_pierce,UCB+UCR,2,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCR+UCSC,2,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCM+UCR,2,IGETC,success,5,63,True,15,15,15,15,3,0,
los_angeles_pierce,UCD+UCSB,2,IGETC,success,5,66,True,15,15,15,15,6,0,
los_angeles_pierce,UCB+UCSB,2,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCSB+UCSC,2,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCM+UCSB,2,IGETC,success,4,60,False,15,15,15,15,0,0,
los_angeles_pierce,UCB+UCD,2,IGETC,success,5,69,True,15,15,15,15,9,0,
los_angeles_pierce,UCD+UCSC,2,IGETC,success,5,63,True,15,15,15,15,3,0,
los_angeles_pierce,UCD+UCM,2,IGETC,success,5,69,True,15,15,15,15,9,0,
