College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Los Medanos College,UCB,Calc1,A,1,MATH 1A,MATH 210 (4.00),,,
Los Medanos College,UCB,Calc2,A,1,MATH 1B,MATH 220 (4.00),,,
Los Medanos College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 250 (3.00); MATH 240 (3.00),,,
Los Medanos College,UCB,MultivariableCalc,A,1,MATH 53,MATH 230 (4.00),,,
Los Medanos College,UCD,Calc1,A,1,MAT 021A,MATH 210 (4.00),,,
Los Medanos College,UCD,Calc2,A,1,MAT 021B,MATH 220 (4.00),,,
Diablo Valley College,UCD,Calc3,A,1,MAT 021C,MATH 292 (5.00),,,
Los Medanos College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 230 (4.00),,,
Los Medanos College,UCD,DataStructures,A,1,ECS 036C,COMSC 132 (3.00),,,
Los Medanos College,UCD,DiscreteMath,A,1,ECS 020,MATH 160 (4.00),,,
Los Medanos College,UCD,Intro1,A,1,ECS 036A,COMSC 044 (3.00),COMSC 122 (3.00),ENGIN 020 (4.00),
Diablo Valley College,UCD,Intro2,A,1,ECS 036B,COMSC 200 (4.00),,,
Los Medanos College,UCD,Organization,A,1,ECS 050,COMSC 142 (3.00),,,
Los Medanos College,UCI,Calc1,A,1,MATH 2A,MATH 210 (4.00),,,
Los Medanos College,UCI,Calc2,A,1,MATH 2B,MATH 220 (4.00),,,
Contra Costa College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,COMP 112 (4.00); COMP 165 (4.00); COMP 200 (4.00),,,
Los Medanos College,UCLA,Calc1,A,1,MATH 31A,MATH 210 (4.00),,,
Los Medanos College,UCLA,Calc2,A,1,MATH 31B,MATH 220 (4.00),,,
Los Medanos College,UCLA,Calc3,A,1,MATH 32A,MATH 230 (4.00),,,
Los Medanos College,UCLA,Calc4,A,1,MATH 32B,MATH 230 (4.00),,,
Los Medanos College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 240 (3.00),,,
Diablo Valley College,UCLA,Intro,A,1,COM SCI 31,COMSC 165 (4.00),COMSC 200 (4.00),,
Los Medanos College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 250 (3.00),,,
Los Medanos College,UCM,Calc1,A,1,MATH 021,MATH 210 (4.00),,,
Los Medanos College,UCM,Calc2,A,1,MATH 022,MATH 220 (4.00),,,
Los Medanos College,UCM,DataStructures,A,1,CSE 030,COMSC 132 (3.00),,,
Los Medanos College,UCM,LinearAlgebra,A,1,MATH 024,MATH 250 (3.00); MATH 240 (3.00),,,
Los Medanos College,UCM,VectorCalc,A,1,MATH 023,MATH 230 (4.00),,,
Los Medanos College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 210 (4.00); MATH 220 (4.00),,,
Los Medanos College,UCR,Intro1,A,1,CS 10A,COMSC 122 (3.00),COMSC 044 (3.00),ENGIN 020 (4.00),
Los Medanos College,UCR,Intro2,A,1,CS 10B,COMSC 132 (3.00),,,
Los Medanos College,UCSB,Calc1,A,1,MATH 3A,MATH 210 (4.00),,,
Los Medanos College,UCSB,Calc2,A,1,MATH 3B,MATH 220 (4.00),,,
Los Medanos College,UCSB,DataStructures,A,1,CMPSC 24,COMSC 132 (3.00),,,
Los Medanos College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 240 (3.00),,,
Los Medanos College,UCSB,DiscreteMath,A,1,CMPSC 40,MATH 160 (4.00),,,
Los Medanos College,UCSB,Intro,A,1,CMPSC 16,COMSC 044 (3.00),ENGIN 020 (4.00),,
Los Medanos College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 250 (3.00),,,
Los Medanos College,UCSC,Calc1,A,1,MATH 19A,MATH 210 (4.00),,,
Los Medanos College,UCSC,Calc2,A,1,MATH 19B,MATH 220 (4.00),,,
Diablo Valley College,UCSC,DataStructures,A,1,CSE 12,COMSC 260 (4.00),,,
Los Medanos College,UCSC,DiscreteMath,A,1,CSE 16,MATH 160 (4.00),,,
Los Medanos College,UCSC,Intro,A,1,CSE 30,COMSC 132 (3.00),,,
Los Medanos College,UCSD,Calc1,A,1,MATH 20A,MATH 210 (4.00),,,
Los Medanos College,UCSD,Calc2,A,1,MATH 20B,MATH 220 (4.00),,,
Los Medanos College,UCSD,Calc3,A,1,MATH 20C,MATH 230 (4.00),,,
Diablo Valley College,UCSD,DataStructures,A,1,CSE 12,COMSC 210 (4.00); COMSC 200 (4.00),,,
Los Medanos College,UCSD,DiscreteMath,A,1,CSE 20,MATH 160 (4.00),,,
Diablo Valley College,UCSD,Intro,A,1,CSE 8B,COMSC 171 (2.00); COMSC 255 (4.00),,,
Diablo Valley College,UCSD,Intro,B,1,CSE 11,COMSC 200 (4.00),,,
Los Medanos College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 250 (3.00),,,
