College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Fullerton College,UCB,Calc1,A,1,MATH 1A,MATH 151 F (4.00),MATH 151HF (4.00),
Fullerton College,UCB,Calc2,A,1,MATH 1B,MATH 152 F (4.00),MATH 152HF (4.00),
Cypress College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 250BC (5.00),,
Fullerton College,UCB,MultivariableCalc,A,1,MATH 53,MATH 251 F (4.00),,
Fullerton College,UCD,Calc1,A,1,MAT 021A,MATH 151 F (4.00),MATH 151HF (4.00),
Fullerton College,UCD,Calc2,A,1,MAT 021B,MATH 152 F (4.00),,
Fullerton College,UCD,Calc3,A,1,MAT 021C,MATH 251 F (4.00),,
Cypress College,UCD,Calc3,A,1,MAT 021C; MAT 021D,MATH 250AC (4.00),,
Cypress College,UCD,DataStructures,A,1,ECS 036C,CSCI 133 C (3.00),,
Fullerton College,UCD,DiscreteMath,A,1,ECS 020,MATH 171 F (4.00),MATH 172 F (4.00),
Fullerton College,UCD,Intro1,A,1,ECS 036A,CSCI 123 F (4.00),CIS 223 F (3.00),CSCI 223 F (4.00)
Fullerton College,UCD,Intro2,A,1,ECS 036B,CSCI 133 F (4.00),,
Fullerton College,UCD,Organization,A,1,ECS 050,CSCI 241 F (4.00),,
Fullerton College,UCI,Calc1,A,1,MATH 2A,MATH 151 F (4.00),MATH 151HF (4.00),
Fullerton College,UCI,Calc2,A,1,MATH 2B,MATH 152 F (4.00),MATH 152HF (4.00),
Fullerton College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CSCI 123 F (4.00); CSCI 133 F (4.00),,
Fullerton College,UCLA,Calc1,A,1,MATH 31A,MATH 151 F (4.00),,
Fullerton College,UCLA,Calc2,A,1,MATH 31B,MATH 152 F (4.00),,
Fullerton College,UCLA,Calc3,A,1,MATH 32A,MATH 251 F (4.00),,
Fullerton College,UCLA,Calc4,A,1,MATH 32B,MATH 251 F (4.00),,
Fullerton College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 252 F (4.00),MATH 260 F (3.00),
Fullerton College,UCLA,Intro,A,1,COM SCI 31,CSCI 123 F (4.00),,
Fullerton College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 252 F (4.00),MATH 255 F (3.00),
Fullerton College,UCM,Calc1,A,1,MATH 021,MATH 151 F (4.00),,
Fullerton College,UCM,Calc2,A,1,MATH 022,MATH 152 F (4.00),MATH 152HF (4.00),
Fullerton College,UCM,DataStructures,A,1,CSE 030,CSCI 133 F (4.00),,
Cypress College,UCM,LinearAlgebra,A,1,MATH 024,MATH 250BC (5.00),,
Fullerton College,UCM,VectorCalc,A,1,MATH 023,MATH 251 F (4.00),,
Fullerton College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 151 F (4.00); MATH 152 F (4.00),,
Fullerton College,UCR,Intro1,A,1,CS 10A,CIS 226 F (4.00),CSCI 123 F (4.00),CSCI 223 F (4.00)
Fullerton College,UCR,Intro2,A,1,CS 10B,CSCI 123 F (4.00); CSCI 133 F (4.00),CIS 223 F (3.00),
Fullerton College,UCSB,Calc1,A,1,MATH 3A,MATH 151 F (4.00),MATH 151HF (4.00),
Fullerton College,UCSB,Calc2,A,1,MATH 3B,MATH 152 F (4.00),MATH 152HF (4.00),
Fullerton College,UCSB,DataStructures,A,1,CMPSC 24,CSCI 133 F (4.00),,
Fullerton College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 252 F (4.00),MATH 260 F (3.00),
Fullerton College,UCSB,DiscreteMath,A,1,CMPSC 40,MATH 170 F (4.00),MATH 171 F (4.00),
Fullerton College,UCSB,Intro,A,1,CMPSC 16,CSCI 123 F (4.00),CSCI 223 F (4.00),CIS 223 F (3.00)
Fullerton College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 252 F (4.00),MATH 255 F (3.00),
Fullerton College,UCSC,Calc1,A,1,MATH 19A,MATH 151 F (4.00),,
Fullerton College,UCSC,Calc2,A,1,MATH 19B,MATH 152 F (4.00),,
Fullerton College,UCSC,DataStructures,A,1,CSE 12,CSCI 241 F (4.00),,
Fullerton College,UCSC,DiscreteMath,A,1,CSE 16,MATH 170 F (4.00),MATH 171 F (4.00),
Fullerton College,UCSC,Intro,A,1,CSE 30,CSCI 133 F (4.00),,
Fullerton College,UCSD,Calc1,A,1,MATH 20A,MATH 151 F (4.00),,
Fullerton College,UCSD,Calc2,A,1,MATH 20B,MATH 152 F (4.00),,
Fullerton College,UCSD,Calc3,A,1,MATH 20C,MATH 251 F (4.00),,
Fullerton College,UCSD,DataStructures,A,1,CSE 12,CSCI 133 F (4.00),,
Fullerton College,UCSD,DiscreteMath,A,1,CSE 20,MATH 171 F (4.00),MATH 170 F (4.00),
Not Articulated,UCSD,Intro,A,1,CSE 8B,Not Articulated,,
Fullerton College,UCSD,Intro,B,1,CSE 11,CIS 226 F (4.00),,
Cypress College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 250BC (5.00),,
