cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,major_courses_total,ge_courses_total,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
chabot,UCD+UCR+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCR+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCR+UCSC+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM+UCR+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCSB+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCSB+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCSB+UCSC+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM+UCSB+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCSC+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCM+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCSC+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCM+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM+UCSC+UCSD,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCR,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCLA,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCLA,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCM,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCR+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCR,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCR,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCR+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCM+UCR,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCSB+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCM+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCLA,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCM,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCM,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCM+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCR+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCR,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCR,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCR+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCM+UCR,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCSB+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCM+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCI,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCM,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCM,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCM+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCR+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCR+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCR+UCSB+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM+UCR+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCR,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCR+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCM+UCR,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCR+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCM+UCR,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM+UCR+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCSB+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCM+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCSB+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCM+UCSB,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM+UCSB+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCM,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCM+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCM+UCSC,3,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCR+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCLA+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCLA+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCM+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCR+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCR+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCR+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCR+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCM+UCR+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCSB+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCM+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCLA+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCM+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCM+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCM+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCR+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCR+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCR+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCR+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCM+UCR+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCSB+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCM+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCI+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCM+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCM+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCM+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCR+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCR+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCR+UCSB+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM+UCR+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCR+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCR+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCM+UCR+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCR+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCM+UCR+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM+UCR+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCSB+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCM+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCSB+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCM+UCSB+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM+UCSB+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCM+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCM+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCM+UCSC+UCSD,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCR+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCLA+UCR,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCLA+UCR,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCR+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCM+UCR,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCLA+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCLA+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCM+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCI+UCLA,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCLA+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCLA+UCM,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCLA+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCLA+UCM,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCM+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCR+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
