Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Chaffey_Community_College_District.csv,0.14,2.62,0.96,0.0,0.0,2.62,0.41,0.0,0.32,0.0,0.54,1.0,1.23,2.0,0.46,1.0,0.86,0.0
Compton_Community_College_District.csv,1.23,0.0,0.43,0.95,0.18,1.95,0.14,1.0,0.14,0.0,0.91,0.29,0.25,3.95,0.0,2.0,0.68,0.21
Rio_Hondo_Community_College_District.csv,1.88,0.82,1.05,0.82,1.62,0.82,1.23,0.0,0.88,0.0,0.0,3.18,0.71,3.0,0.71,0.0,1.88,0.0
Peralta_Community_College_District.csv,1.38,0.0,0.66,0.0,0.88,0.0,0.38,0.0,0.32,0.0,0.73,0.02,1.11,0.0,1.16,0.0,1.0,0.0
Antelope_Valley_Community_College_District.csv,1.02,0.0,0.96,0.89,1.23,0.0,0.32,1.0,0.32,0.0,1.41,0.07,0.88,0.0,0.0,2.0,1.11,0.0
West_Valley-Mission_Community_College_District.csv,1.93,0.0,1.05,0.0,1.18,0.0,0.55,0.0,0.43,0.0,1.93,0.04,2.36,0.91,0.62,0.0,0.95,0.0
Victor_Valley_Community_College_District.csv,0.98,2.0,1.96,0.0,1.25,1.0,0.43,1.0,0.43,0.0,0.0,4.0,0.98,3.0,0.71,0.0,0.43,2.0
Pasadena_Area_Community_College_District.csv,0.98,0.0,1.86,0.0,2.05,0.0,1.25,0.0,0.43,0.0,1.88,0.02,1.68,0.0,0.21,0.0,0.91,0.0
MiraCosta_Community_College_District.csv,0.46,0.0,0.59,0.0,0.88,0.0,0.34,0.0,0.32,0.0,0.09,1.0,1.04,0.0,0.09,0.0,0.41,0.0
Contra_Costa_Community_College_District.csv,2.43,0.0,1.14,0.0,1.43,0.0,0.79,0.0,0.43,0.0,2.0,0.36,4.52,0.0,1.25,0.0,1.41,0.0
Allan_Hancock_Joint_Community_College_District.csv,0.61,0.89,0.25,1.89,0.98,0.0,0.25,1.0,0.25,0.0,0.0,3.07,0.8,2.89,0.8,0.0,1.05,0.0
Ventura_County_Community_College_District.csv,1.41,0.0,2.88,0.0,1.16,0.0,1.05,0.0,0.43,0.0,1.45,0.18,4.61,0.0,0.18,1.0,1.05,0.0
North_Orange_County_Community_College_District.csv,0.62,0.0,0.61,0.0,1.0,0.0,0.41,0.0,0.25,0.0,0.18,0.18,4.25,0.0,1.16,0.0,0.88,0.0
State_Center_Community_College_District.csv,1.43,0.0,0.32,0.0,0.8,0.0,1.25,0.0,0.25,0.0,0.07,0.39,3.88,0.0,0.07,0.32,0.32,0.0
Chabot-Las_Positas_Community_College_District.csv,1.04,0.0,1.12,0.0,0.88,0.0,0.77,0.0,0.32,0.0,1.62,0.18,1.57,0.0,0.62,0.0,0.84,0.0
Sonoma_County_Junior_College_District.csv,0.88,0.89,1.5,0.0,0.88,0.0,0.43,1.0,0.43,0.0,0.0,3.07,1.32,0.89,0.25,0.0,1.32,0.0
Citrus_Community_College_District.csv,0.25,3.0,0.68,1.0,0.98,1.0,0.5,0.0,0.43,0.0,0.0,4.0,1.05,2.0,0.7,0.0,1.12,0.0
Lake_Tahoe_Community_College_District.csv,0.5,1.0,0.25,3.0,0.09,2.0,0.45,1.0,0.45,0.0,0.61,1.0,0.02,5.0,0.62,0.0,1.05,0.0
Sierra_Joint_Community_College_District.csv,0.8,0.0,0.55,0.0,0.93,0.0,0.7,0.0,0.14,0.0,0.0,4.0,1.91,0.0,0.3,0.0,0.34,0.0
Southwestern_Community_College_District.csv,1.43,0.0,0.8,1.0,1.14,0.0,0.7,0.0,0.32,0.0,0.95,0.36,0.98,1.73,0.0,1.0,0.68,0.0
El_Camino_Community_College_District.csv,1.09,0.0,0.54,0.0,1.25,0.0,0.2,0.0,0.14,0.0,0.57,0.02,0.62,0.95,0.3,0.0,0.21,0.0
Yosemite_Community_College_District.csv,1.27,1.0,0.61,2.0,1.0,0.0,0.43,1.0,0.43,0.0,0.2,1.0,2.18,1.0,0.2,0.0,0.62,0.0
Sequoias_Community_College_District.csv,0.14,2.62,1.45,0.0,0.02,1.62,0.32,1.0,0.32,0.0,0.2,1.0,1.27,2.0,0.2,0.0,0.34,1.0
Butte-Glenn_Community_College_District.csv,0.14,3.0,1.04,0.0,1.05,0.0,0.32,1.0,0.32,0.0,0.0,4.0,1.12,2.0,0.43,0.0,0.75,0.0
San_Bernardino_Community_College_District.csv,0.32,2.0,1.68,0.0,1.05,0.0,1.23,0.0,0.43,0.0,0.8,0.62,2.21,0.0,0.88,0.0,0.75,0.0
Foothill-De_Anza_Community_College_District.csv,1.29,0.0,1.71,0.0,0.98,0.0,0.71,0.0,0.43,0.0,2.0,0.62,1.16,0.0,0.84,0.0,0.98,0.0
Copper_Mountain_Community_College_District.csv,0.43,1.89,0.57,0.0,0.8,0.89,0.43,1.0,0.43,0.0,0.14,0.07,0.95,0.89,0.14,0.0,0.57,0.0
Grossmont-Cuyamaca_Community_College_District.csv,1.23,0.0,0.7,0.0,0.82,0.0,1.32,0.0,0.32,0.0,2.0,1.0,1.14,1.0,0.27,0.0,0.41,0.0
Barstow_Community_College_District.csv,1.07,0.0,1.07,0.89,0.36,2.0,0.18,3.0,0.71,0.0,0.18,0.07,0.0,5.0,0.36,0.0,1.07,0.0
Los_Rios_Community_College_District.csv,0.95,0.11,0.52,0.11,0.88,0.11,0.34,0.0,0.32,0.0,0.57,0.93,1.14,0.11,0.2,0.0,0.41,0.0
Mt._San_Jacinto_Community_College_District.csv,1.11,0.0,0.59,0.0,0.88,0.0,0.41,0.0,0.32,0.0,0.36,1.0,1.14,0.0,0.54,0.0,0.41,0.0
Rancho_Santiago_Community_College_District.csv,0.89,0.0,0.82,0.0,1.02,0.98,0.36,0.0,0.25,0.0,0.73,0.0,1.02,1.98,0.12,0.0,0.82,0.0
Palomar_Community_College_District.csv,0.73,0.0,1.29,0.0,0.82,0.0,0.61,0.0,0.43,0.0,0.3,0.0,1.02,0.0,0.2,0.0,0.46,0.0
West_Hills_Community_College_District.csv,0.14,2.62,0.61,2.0,0.0,2.62,0.32,1.0,0.32,0.0,0.0,4.0,0.07,5.0,0.36,1.0,0.68,1.0
Ohlone_Community_College_District.csv,0.86,0.0,0.57,0.0,0.88,0.0,0.5,0.0,0.43,0.0,0.0,3.07,1.3,0.0,0.43,0.0,0.57,0.0
Gavilan_Community_College_District.csv,0.43,2.0,0.79,0.0,1.61,0.0,0.43,1.0,0.43,0.0,0.0,4.0,2.61,1.0,0.36,0.0,0.79,0.0
Hartnell_Community_College_District.csv,0.7,2.0,1.07,0.0,2.57,0.0,0.61,0.0,0.32,0.0,0.0,4.0,0.27,3.0,0.02,1.0,0.7,0.0
Solano_Community_College_District.csv,0.43,2.0,0.61,2.0,1.16,0.0,0.61,0.0,0.43,0.0,0.0,4.0,1.34,0.0,0.18,1.0,0.79,0.0
Yuba_Community_College_District.csv,1.04,2.0,1.2,0.0,1.34,0.0,0.66,0.0,0.54,0.0,0.0,4.0,1.73,1.0,0.48,0.0,0.84,0.0
AVERAGE,0.9,1.11,0.96,0.65,0.9,0.63,0.53,0.58,0.36,0.1,0.58,1.77,1.34,1.51,0.42,0.33,0.77,0.27
TRANSFERABLE AVERAGE,1.27,0.0,1.11,0.0,1.14,0.0,0.65,0.0,0.37,0.0,1.61,0.0,1.92,0.0,0.51,0.0,0.81,0.0
