Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Merced_Community_College_District.csv,1.25,2.0,0.93,1.0,1.46,0.0,1.25,1.0,1.25,0.0,1.68,0.0,1.68,1.0,0.79,0.0,1.5,0.0
Marin_Community_College_District.csv,1.93,0.9,1.14,0.04,1.32,0.02,1.07,0.02,0.71,0.05,0.57,0.8,1.89,0.05,0.57,0.06,1.14,0.06
Siskiyou_Joint_Community_College_District.csv,0.57,3.0,1.57,2.0,1.11,1.0,0.93,1.0,0.93,0.0,0.0,4.0,1.64,2.0,0.89,0.0,1.82,0.0
Imperial_Community_College_District.csv,2.57,0.0,0.93,2.0,0.57,1.82,0.79,1.0,0.79,0.0,0.0,3.61,1.61,2.82,0.57,1.0,1.89,0.07
Kern_Community_College_District.csv,0.57,3.0,2.32,0.82,1.96,0.0,1.14,0.0,0.93,0.0,0.0,3.36,2.21,1.82,1.21,0.0,2.14,0.0
Lassen_Community_College_District.csv,0.0,4.75,0.0,5.0,0.0,2.75,0.0,5.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,4.0
Cabrillo_Community_College_District.csv,1.82,0.0,1.46,0.0,1.29,0.0,1.21,0.0,0.79,0.0,0.46,0.51,2.21,0.0,0.54,0.0,1.29,0.0
San_Mateo_County_Community_College_District.csv,2.36,0.0,1.43,0.0,1.21,0.0,1.14,0.0,0.93,0.0,0.5,0.36,2.18,0.0,0.79,0.0,1.07,0.0
West_Kern_Community_College_District.csv,0.21,3.75,3.25,0.0,0.0,2.75,0.57,2.0,1.11,0.0,0.0,4.0,0.57,4.0,0.36,1.0,1.46,1.0
Desert_Community_College_District.csv,0.79,2.0,1.82,0.0,1.46,0.0,0.79,1.0,0.79,0.0,0.0,3.21,1.68,1.86,1.54,0.0,1.68,0.0
San_Jose-Evergreen_Community_College_District.csv,1.14,1.0,1.96,0.0,1.32,0.0,1.64,0.0,0.93,0.0,0.93,0.54,2.36,0.79,0.5,0.0,1.25,0.0
Shasta-Tehama-Trinity_Joint_Community_College_District.csv,0.57,2.75,1.82,0.0,0.54,1.75,0.93,1.0,0.93,0.0,0.0,4.0,2.25,1.0,0.71,0.0,1.64,0.0
Palo_Verde_Community_College_District.csv,1.0,5.75,0.0,7.0,0.0,4.75,0.0,7.0,0.0,4.0,0.0,6.0,0.0,8.0,0.0,5.0,0.0,6.0
San_Luis_Obispo_County_Community_College_District.csv,2.43,0.0,1.18,0.93,2.0,0.0,0.57,1.0,0.57,0.0,0.0,3.04,1.11,0.0,1.25,0.0,1.29,0.0
San_Francisco_Community_College_District.csv,2.14,0.04,1.46,0.04,1.46,0.04,0.96,0.04,0.43,0.04,2.0,0.96,1.32,0.0,0.54,0.0,1.79,0.04
Santa_Clarita_Community_College_District.csv,3.32,0.0,3.43,0.0,2.07,0.0,1.29,0.0,0.93,0.0,0.0,4.0,1.14,2.0,0.57,0.0,1.86,0.0
Long_Beach_Community_College_District.csv,0.79,2.0,1.43,0.0,0.89,1.0,0.75,0.0,0.43,0.0,0.32,1.0,2.07,1.0,0.32,0.0,0.89,0.0
Santa_Barbara_Community_College_District.csv,1.82,0.0,1.96,0.0,1.14,0.0,0.93,0.0,0.79,0.0,1.93,0.0,1.64,1.0,0.93,0.0,1.21,0.0
Coast_Community_College_District.csv,1.64,0.0,1.04,0.0,1.25,0.0,0.93,0.0,0.61,0.0,2.04,0.0,3.32,0.0,1.21,0.0,0.82,0.0
Napa_Valley_Community_College_District.csv,0.43,2.75,1.79,1.0,0.36,1.75,1.36,0.0,0.79,0.0,0.0,4.0,0.79,3.0,0.21,1.0,1.36,0.0
Redwoods_Community_College_District.csv,0.43,2.75,0.57,3.0,0.0,2.75,0.79,1.0,0.79,0.0,0.0,4.0,0.75,4.0,0.54,1.0,1.32,1.0
Mendocino-Lake_Community_College_District.csv,0.96,1.75,1.57,2.0,0.0,2.75,0.79,1.0,0.79,0.0,0.0,4.0,1.75,3.0,1.07,0.0,1.86,0.0
Santa_Monica_Community_College_District.csv,2.61,0.0,1.75,0.0,1.57,0.04,1.57,0.0,0.79,0.0,1.39,0.14,1.79,1.93,0.75,0.07,1.61,0.04
San_Joaquin_Delta_Community_College_District.csv,0.57,3.0,2.46,0.0,1.93,0.0,1.54,0.0,0.93,0.0,0.0,4.0,1.54,2.0,0.61,0.0,1.39,0.0
Feather_River_Community_College_District.csv,0.0,4.75,1.0,4.0,0.0,2.75,0.0,5.0,0.75,1.0,0.0,4.0,0.0,6.0,0.0,2.0,0.75,3.0
Cerritos_Community_College_District.csv,1.89,0.0,1.43,0.0,1.32,0.0,0.86,0.0,0.57,0.0,0.64,0.32,1.68,0.0,0.46,0.0,0.89,0.11
Riverside_Community_College_District.csv,1.5,0.86,1.71,0.0,1.25,0.0,1.25,0.0,0.79,0.0,1.21,0.21,2.14,0.0,0.21,0.0,1.18,0.0
South_Orange_County_Community_College_District.csv,1.71,0.0,1.36,0.0,2.57,0.0,1.36,0.0,0.93,0.0,3.0,0.0,3.36,0.0,0.79,0.0,1.64,0.0
Mt._San_Antonio_Community_College_District.csv,2.18,0.0,2.61,0.0,1.36,0.86,0.79,0.0,0.57,0.0,0.0,3.21,2.14,1.86,0.25,0.0,2.32,0.0
Monterey_Peninsula_Community_College_District.csv,0.93,2.0,1.18,1.0,1.32,0.0,1.18,0.0,0.93,0.0,1.21,1.0,1.57,1.0,0.32,0.0,1.79,0.0
Glendale_Community_College_District.csv,1.36,0.0,1.36,0.0,0.96,1.0,0.96,0.0,0.93,0.0,0.57,0.36,2.07,0.0,0.57,0.0,1.18,0.0
Los_Angeles_Community_College_District.csv,1.36,0.0,1.5,0.0,1.32,0.0,1.14,0.0,0.79,0.0,1.0,0.25,2.46,0.21,0.93,0.0,1.82,0.0
San_Diego_Community_College_District.csv,2.21,0.0,1.57,0.0,1.36,0.82,1.04,0.0,0.93,0.0,2.11,0.36,1.46,1.82,0.86,0.0,1.57,0.0
Chaffey_Community_College_District.csv,0.43,2.75,1.64,0.0,0.0,2.75,1.11,0.0,0.79,0.0,0.71,1.0,1.68,2.0,0.5,1.0,1.5,0.0
Compton_Community_College_District.csv,1.93,0.0,0.93,0.89,0.36,1.89,0.43,1.0,0.43,0.0,1.14,0.32,0.57,3.89,0.0,2.0,1.32,0.11
Rio_Hondo_Community_College_District.csv,2.32,0.82,1.5,0.82,1.75,0.82,1.86,0.0,1.32,0.0,0.0,3.36,1.07,3.0,1.07,0.0,2.32,0.0
Peralta_Community_College_District.csv,1.93,0.0,1.43,0.0,1.32,0.0,0.93,0.0,0.79,0.0,0.93,0.11,1.82,0.0,1.29,0.0,1.68,0.0
Antelope_Valley_Community_College_District.csv,1.75,0.0,1.43,0.86,1.57,0.0,0.79,1.0,0.79,0.0,1.75,0.21,1.32,0.0,0.0,2.0,1.79,0.0
West_Valley-Mission_Community_College_District.csv,2.46,0.0,1.71,0.0,1.39,0.0,1.18,0.0,0.93,0.0,1.82,0.18,2.75,0.86,0.79,0.0,1.57,0.0
Victor_Valley_Community_College_District.csv,1.36,2.0,2.64,0.0,1.5,1.0,0.93,1.0,0.93,0.0,0.0,4.0,1.29,3.0,1.07,0.0,0.93,2.0
Pasadena_Area_Community_College_District.csv,1.71,0.0,2.96,0.0,2.5,0.0,2.04,0.0,0.93,0.0,2.04,0.11,2.61,0.0,0.54,0.0,1.68,0.0
MiraCosta_Community_College_District.csv,1.21,0.0,1.46,0.0,1.32,0.0,0.89,0.0,0.79,0.0,0.32,1.0,1.86,0.0,0.32,0.0,1.11,0.0
Contra_Costa_Community_College_District.csv,2.93,0.0,2.0,0.0,1.86,0.0,1.46,0.0,0.93,0.0,2.0,0.54,5.18,0.0,1.5,0.0,2.21,0.0
Allan_Hancock_Joint_Community_College_District.csv,1.29,0.86,0.57,1.86,1.46,0.0,0.57,1.0,0.57,0.0,0.0,3.21,1.11,2.86,1.11,0.0,1.68,0.0
Ventura_County_Community_College_District.csv,2.21,0.0,3.32,0.0,1.64,0.0,1.68,0.0,0.93,0.0,1.57,0.36,5.21,0.0,0.36,1.0,1.86,0.0
North_Orange_County_Community_College_District.csv,1.25,0.0,1.14,0.0,1.39,0.0,0.86,0.0,0.57,0.0,0.39,0.36,4.54,0.0,1.29,0.0,1.36,0.0
State_Center_Community_College_District.csv,1.96,0.0,0.82,0.0,1.14,0.0,1.57,0.0,0.57,0.0,0.25,0.36,4.36,0.0,0.25,0.14,0.82,0.0
