UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MAT 003A (5.00),,,
UCB,Calc2,A,1,MATH 1B,MAT 003B (5.00),,,
UCB,MultivariableCalc,A,1,MATH 53,MAT 004A (5.00),,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MAT 004B (4.00); MAT 004C (4.00),,,
UCD,DiscreteMath,A,1,ECS 020,MAT 019 (4.00),,,
UCD,Intro1,A,1,ECS 036A,CIS 037A (4.00),CIS 040 (4.00),CIS 043 (4.00),EGR 030 (4.00)
UCD,Intro2,A,1,ECS 036B,CIS 043 (4.00),,,
UCD,DataStructures,A,1,ECS 036C,CIS 044 (4.00),,,
UCD,Organization,A,1,ECS 050,CIS 039 (4.00),,,
UCD,Calc1,A,1,MAT 021A; MAT 021B,MAT 003A (5.00); MAT 003B (5.00),MAT 003AH (5.00); MAT 003B (5.00),,
UCD,Calc2,A,1,MAT 021A; MAT 021B,MAT 003A (5.00); MAT 003B (5.00),MAT 003AH (5.00); MAT 003B (5.00),,
UCD,Calc3,A,1,MAT 021C,Not Articulated,,,
UCD,Calc1,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MAT 003A (5.00); MAT 003B (5.00); MAT 004A (5.00),MAT 003AH (5.00); MAT 003B (5.00); MAT 004A (5.00),,
UCD,Calc2,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MAT 003A (5.00); MAT 003B (5.00); MAT 004A (5.00),MAT 003AH (5.00); MAT 003B (5.00); MAT 004A (5.00),,
UCD,Calc3,A,1,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MAT 003A (5.00); MAT 003B (5.00); MAT 004A (5.00),MAT 003AH (5.00); MAT 003B (5.00); MAT 004A (5.00),,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 043 (4.00); CIS 044 (4.00),,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 043 (4.00); CIS 044 (4.00),,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 043 (4.00); CIS 044 (4.00),,,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CIS 007 (4.00); CIS 008 (4.00),,,
UCI,Intro,A,2,I&C SCI 31; I&C SCI 32,CIS 007 (4.00); CIS 008 (4.00),,,
