UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCI,Programming,E,1,IN4MATX 43,Not Articulated,,,
UCI,Programming,F,1,I&C SCI 6B,CS 6B (3.00),,,
UCI,Programming,G,1,I&C SCI 6D,CS 6A (3.00),,,
UCI,Programming,H,1,STATS 67,Not Articulated,,,
UCLA,Intro,A,1,COM SCI 31,CS 37 (3.00),,,
UCLA,Intro2,A,1,COM SCI 32,CS 41 (3.00),,,
UCLA,Intro3,A,1,COM SCI 33,CS 40A (3.00); CS 40B (3.00),,,
UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,,,
UCLA,Calc1,A,1,MATH 31A,MATH 3A (5.00),MATH 3AH (5.00),,
UCLA,Calc2,A,1,MATH 31B,MATH 3B (5.00),MATH 3BH (5.00),,
UCLA,Calc3,A,1,MATH 32A,MATH 4A (5.00),MATH 4AH (5.00),,
UCLA,Calc4,A,1,MATH 32B,MATH 4A (5.00),MATH 4AH (5.00),,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 26 (4.00),MATH 26H (4.00),,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 24 (4.00),MATH 24H (4.00),,
UCLA,DiscreteStructures,A,1,MATH 61,MATH 6A (3.00); MATH 6B (3.00),,,
UCM,DataStructures,A,1,CSE 030,CS 41 (3.00),,,
UCM,Calc1,A,1,MATH 021,MATH 3A (5.00),MATH 3AH (5.00),,
UCM,Calc2,A,1,MATH 022,MATH 3B (5.00),MATH 3BH (5.00),,
UCM,VectorCalc,A,1,MATH 023,MATH 4A (5.00),MATH 4AH (5.00),,
UCM,LinearAlgebra,A,1,MATH 024,MATH 24 (4.00); MATH 26 (4.00),MATH 24 (4.00); MATH 26H (4.00),MATH 24H (4.00); MATH 26 (4.00),MATH 24H (4.00); MATH 26H (4.00)
UCR,Intro1,A,1,CS 10A,CS 10 (3.00),CS 36 (3.00),CS 37 (3.00),
UCR,Intro2,A,1,CS 10B,CS 38 (3.00),,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 3A (5.00); MATH 3B (5.00),,,
UCSD,Intro,A,1,CSE 11,CS 38 (3.00),,,
UCSD,DataStructures,A,1,CSE 12,CS 41 (3.00),,,
UCSD,DiscreteMath,A,1,CSE 20,MATH 6A (3.00),,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 26 (4.00),,,
