severity,root_cause,recommended_action,uc,uc_full,cc,status,receiving,issue_type,message,expected,actual,url,view_by_key
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCB,University of California Berkeley,Gavilan College,fail,COMPSCI 61B,flattened_or,sending options differ,"[['CSIS 27 (3.00)'], ['CSIS 46 (3.00)']]","[['CSIS 27 (3.00)', 'CSIS 46 (3.00)']]",https://assist.org/transfer/results?year=76&institution=72&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F72%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/72/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCB,University of California Berkeley,Pasadena City College,fail,MATH 51,flattened_or,sending options differ,"[['MATH 005A (5.00)'], ['MATH 005AH (5.00)'], ['MATH 005AE (5.50)']]","[['MATH 005A (5.00)', 'MATH 005AH (5.00)', 'MATH 005AE (5.50)']]",https://assist.org/transfer/results?year=76&institution=49&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F49%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/49/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCB,University of California Berkeley,Victor Valley College,fail,MATH 53,flattened_or,sending options differ,"[['MATH 228 (5.00)'], ['MATH 228H (5.00)']]","[['MATH 228 (5.00)', 'MATH 228H (5.00)']]",https://assist.org/transfer/results?year=76&institution=19&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F19%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/19/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
high,not_articulated_mismatch,Manually inspect ASSIST and current CSV; this can change whether a requirement is available.,UCB,University of California Berkeley,Clovis Community College,fail,COMPSCI 61C,not_articulated_mismatch,sending options differ,[['CSCI 45 (4.00)']],[['Not Articulated']],https://assist.org/transfer/results?year=76&institution=150&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F150%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/150/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
high,not_articulated_mismatch,Manually inspect ASSIST and current CSV; this can change whether a requirement is available.,UCD,University of California Davis,Mission College,fail,ECS 020,not_articulated_mismatch,sending options differ,[['MAT 020 (4.00)']],[['Not Articulated']],https://assist.org/transfer/results?year=76&institution=32&agreement=89&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F32%2Fto%2F89%2FMajor%2F37adebfb-6deb-4e42-34ac-08ddb349963e,76/32/to/89/Major/37adebfb-6deb-4e42-34ac-08ddb349963e
high,not_articulated_mismatch,Manually inspect ASSIST and current CSV; this can change whether a requirement is available.,UCD,University of California Davis,Norco College,fail,ECS 020,not_articulated_mismatch,sending options differ,"[['CIS 7 (3.00)'], ['CSC 7 (3.00)']]",[['Not Articulated']],https://assist.org/transfer/results?year=76&institution=148&agreement=89&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F148%2Fto%2F89%2FMajor%2F37adebfb-6deb-4e42-34ac-08ddb349963e,76/148/to/89/Major/37adebfb-6deb-4e42-34ac-08ddb349963e
high,not_articulated_mismatch,Manually inspect ASSIST and current CSV; this can change whether a requirement is available.,UCD,University of California Davis,Fresno City College,fail,ECS 050,not_articulated_mismatch,sending options differ,[['CSCI 45 (4.00)']],[['Not Articulated']],https://assist.org/transfer/results?year=76&institution=35&agreement=89&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F35%2Fto%2F89%2FMajor%2F37adebfb-6deb-4e42-34ac-08ddb349963e,76/35/to/89/Major/37adebfb-6deb-4e42-34ac-08ddb349963e
high,sending_grouping_mismatch,Inspect ASSIST row and fix exporter/parser grouping; this can change AND/OR meaning.,UCD,University of California Davis,Solano Community College,fail,ECS 020,sending_options_mismatch,sending options differ,"[['CIS 021 (3.00)'], ['ENGR 012 (4.00)']]",[['CIS 021 (3.00)']],https://assist.org/transfer/results?year=76&institution=94&agreement=89&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F94%2Fto%2F89%2FMajor%2F37adebfb-6deb-4e42-34ac-08ddb349963e,76/94/to/89/Major/37adebfb-6deb-4e42-34ac-08ddb349963e
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Fullerton College,fail,I&C SCI 6B,flattened_or,sending options differ,"[['MATH 170 F (5.00)'], ['MATH 171 F (4.00)']]","[['MATH 170 F (5.00)', 'MATH 171 F (4.00)']]",https://assist.org/transfer/results?year=76&institution=134&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F134%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/134/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Pasadena City College,fail,I&C SCI 6B,flattened_or,sending options differ,"[['CS 045 (4.00)'], ['MATH 022 (4.00)']]","[['CS 045 (4.00)', 'MATH 022 (4.00)']]",https://assist.org/transfer/results?year=76&institution=49&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F49%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/49/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,San Jose City College,fail,I&C SCI 6B,flattened_or,sending options differ,"[['MATH 070 (4.00)'], ['MATH 080 (4.00)']]","[['MATH 070 (4.00)', 'MATH 080 (4.00)']]",https://assist.org/transfer/results?year=76&institution=136&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F136%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/136/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Diablo Valley College,fail,I&C SCI 6D,flattened_or,sending options differ,"[['COMSC 230 (3.00)'], ['MATH 195 (4.00)']]","[['COMSC 230 (3.00)', 'MATH 195 (4.00)']]",https://assist.org/transfer/results?year=76&institution=114&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F114%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/114/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Fullerton College,fail,I&C SCI 6D,flattened_or,sending options differ,"[['MATH 170 F (5.00)'], ['MATH 171 F (4.00)']]","[['MATH 170 F (5.00)', 'MATH 171 F (4.00)']]",https://assist.org/transfer/results?year=76&institution=134&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F134%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/134/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Moorpark College,fail,I&C SCI 6D,flattened_or,sending options differ,"[['CS M155 (3.00)'], ['MATH M21 (3.00)']]","[['CS M155 (3.00)', 'MATH M21 (3.00)']]",https://assist.org/transfer/results?year=76&institution=139&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F139%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/139/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,San Jose City College,fail,I&C SCI 6D,flattened_or,sending options differ,"[['MATH 070 (4.00)'], ['MATH 080 (4.00)']]","[['MATH 070 (4.00)', 'MATH 080 (4.00)']]",https://assist.org/transfer/results?year=76&institution=136&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F136%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/136/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Antelope Valley College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 150 (5.00)'], ['MATH 150H (5.00)']]","[['MATH 150 (5.00)', 'MATH 150H (5.00)']]",https://assist.org/transfer/results?year=76&institution=121&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F121%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/121/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Berkeley City College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 3A (5.00)'], ['MATH 16A (4.00)']]","[['MATH 3A (5.00)', 'MATH 16A (4.00)']]",https://assist.org/transfer/results?year=76&institution=58&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F58%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/58/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,College of the Canyons,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 211 (5.00)'], ['MATH 211X (6.00)'], ['MATH 240 (5.00)'], ['MATH 240X (6.00)']]","[['MATH 211 (5.00)', 'MATH 211X (6.00)', 'MATH 240 (5.00)', 'MATH 240X (6.00)']]",https://assist.org/transfer/results?year=76&institution=140&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F140%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/140/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Crafton Hills College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 250 (4.00)'], ['MATH 250E (4.00)']]","[['MATH 250 (4.00)', 'MATH 250E (4.00)']]",https://assist.org/transfer/results?year=76&institution=70&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F70%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/70/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Cuyamaca College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 178 (4.00)'], ['MATH 180 (5.00)']]","[['MATH 178 (4.00)', 'MATH 180 (5.00)']]",https://assist.org/transfer/results?year=76&institution=99&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F99%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/99/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Cypress College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 130 C (4.00)'], ['MATH 130PC (4.00)'], ['MATH 150AC (4.00)']]","[['MATH 130 C (4.00)', 'MATH 130PC (4.00)', 'MATH 150AC (4.00)']]",https://assist.org/transfer/results?year=76&institution=71&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F71%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/71/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Diablo Valley College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 182 (4.00)'], ['MATH 192 (5.00)']]","[['MATH 182 (4.00)', 'MATH 192 (5.00)']]",https://assist.org/transfer/results?year=76&institution=114&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F114%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/114/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Evergreen Valley College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 062 (3.00)'], ['MATH 066 (4.00)'], ['MATH 071 (5.00)']]","[['MATH 062 (3.00)', 'MATH 066 (4.00)', 'MATH 071 (5.00)']]",https://assist.org/transfer/results?year=76&institution=2&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F2%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/2/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Folsom Lake College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 400 (5.00)'], ['MATH 341 (4.00)']]","[['MATH 400 (5.00)', 'MATH 341 (4.00)']]",https://assist.org/transfer/results?year=76&institution=145&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F145%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/145/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Glendale Community College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 103E (5.00)'], ['MATH 103EH (5.00)'], ['MATH 103E+ (6.00)'], ['MATH 113 (3.50)']]","[['MATH 103E (5.00)', 'MATH 103EH (5.00)', 'MATH 103E+ (6.00)', 'MATH 113 (3.50)']]",https://assist.org/transfer/results?year=76&institution=43&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F43%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/43/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Grossmont College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 178 (4.00)'], ['MATH 180 (5.00)']]","[['MATH 178 (4.00)', 'MATH 180 (5.00)']]",https://assist.org/transfer/results?year=76&institution=106&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F106%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/106/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Lake Tahoe Community College,fail,MATH 2A,flattened_or,sending options differ,"[['MAT 105 (5.00)'], ['MAT 118 (5.00)']]","[['MAT 105 (5.00)', 'MAT 118 (5.00)']]",https://assist.org/transfer/results?year=76&institution=40&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F40%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/40/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Laney College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 3A (5.00)'], ['MATH 16A (4.00)']]","[['MATH 3A (5.00)', 'MATH 16A (4.00)']]",https://assist.org/transfer/results?year=76&institution=77&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F77%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/77/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Los Angeles City College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 261 (5.00)'], ['MATH 261S (5.00)']]","[['MATH 261 (5.00)', 'MATH 261S (5.00)']]",https://assist.org/transfer/results?year=76&institution=3&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F3%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/3/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Los Angeles Harbor College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 265 (5.00)'], ['MATH 265S (5.00)']]","[['MATH 265 (5.00)', 'MATH 265S (5.00)']]",https://assist.org/transfer/results?year=76&institution=31&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F31%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/31/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Los Angeles Mission College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 261 (5.00)'], ['MATH 261S (5.00)']]","[['MATH 261 (5.00)', 'MATH 261S (5.00)']]",https://assist.org/transfer/results?year=76&institution=47&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F47%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/47/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Los Angeles Trade Technical College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 261 (5.00)'], ['MATH 261S (5.00)']]","[['MATH 261 (5.00)', 'MATH 261S (5.00)']]",https://assist.org/transfer/results?year=76&institution=25&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F25%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/25/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Merritt College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 3A (5.00)'], ['MATH 16A (4.00)']]","[['MATH 3A (5.00)', 'MATH 16A (4.00)']]",https://assist.org/transfer/results?year=76&institution=13&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F13%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/13/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Palomar College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 140 (5.00)'], ['MATH 140E (5.00)']]","[['MATH 140 (5.00)', 'MATH 140E (5.00)']]",https://assist.org/transfer/results?year=76&institution=56&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F56%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/56/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Pasadena City College,fail,MATH 2A,flattened_or,sending options differ,"[['BUS 014B (4.00)'], ['MATH 005A (5.00)'], ['MATH 005AE (5.50)'], ['MATH 005AH (5.00)'], ['MATH 006A (3.00)']]","[['BUS 014B (4.00)', 'MATH 005A (5.00)', 'MATH 005AE (5.50)', 'MATH 005AH (5.00)', 'MATH 006A (3.00)']]",https://assist.org/transfer/results?year=76&institution=49&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F49%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/49/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,San Jose City College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 062 (3.00)'], ['MATH 071 (5.00)'], ['MATH 071H (5.00)']]","[['MATH 062 (3.00)', 'MATH 071 (5.00)', 'MATH 071H (5.00)']]",https://assist.org/transfer/results?year=76&institution=136&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F136%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/136/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Santiago Canyon College,fail,MATH 2A,flattened_or,sending options differ,"[['MATH 150 (5.00)'], ['MATH 150S (5.50)'], ['MATH 180 (4.00)'], ['MATH 180H (4.00)'], ['MATH 180S (4.50)']]","[['MATH 150 (5.00)', 'MATH 150S (5.50)', 'MATH 180 (4.00)', 'MATH 180H (4.00)', 'MATH 180S (4.50)']]",https://assist.org/transfer/results?year=76&institution=66&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F66%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/66/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Berkeley City College,fail,MATH 2B,flattened_or,sending options differ,"[['MATH 3B (5.00)'], ['MATH 16B (3.00)']]","[['MATH 3B (5.00)', 'MATH 16B (3.00)']]",https://assist.org/transfer/results?year=76&institution=58&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F58%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/58/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Evergreen Valley College,fail,MATH 2B,flattened_or,sending options differ,"[['MATH 067 (4.00)'], ['MATH 072 (5.00)']]","[['MATH 067 (4.00)', 'MATH 072 (5.00)']]",https://assist.org/transfer/results?year=76&institution=2&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F2%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/2/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Glendale Community College,fail,MATH 2B,flattened_or,sending options differ,"[['MATH 104E (5.00)'], ['MATH 104EH (5.00)']]","[['MATH 104E (5.00)', 'MATH 104EH (5.00)']]",https://assist.org/transfer/results?year=76&institution=43&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F43%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/43/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Laney College,fail,MATH 2B,flattened_or,sending options differ,"[['MATH 3B (5.00)'], ['MATH 16B (3.00)']]","[['MATH 3B (5.00)', 'MATH 16B (3.00)']]",https://assist.org/transfer/results?year=76&institution=77&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F77%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/77/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Long Beach City College,fail,MATH 2B,flattened_or,sending options differ,"[['MATH 70 (5.00)'], ['MATH 70H (5.00)'], ['MATH 70S (6.00)']]","[['MATH 70 (5.00)', 'MATH 70H (5.00)', 'MATH 70S (6.00)']]",https://assist.org/transfer/results?year=76&institution=135&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F135%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/135/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
high,flattened_or,Fix exporter/parser so OR alternatives remain separate course groups; verify against ASSIST.,UCI,University of California Irvine,Merritt College,fail,MATH 2B,flattened_or,sending options differ,"[['MATH 3B (5.00)'], ['MATH 16B (3.00)']]","[['MATH 3B (5.00)', 'MATH 16B (3.00)']]",https://assist.org/transfer/results?year=76&institution=13&agreement=120&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F13%2Fto%2F120%2FMajor%2F7752acca-2b16-46d0-fb90-08dda2ee8889,76/13/to/120/Major/7752acca-2b16-46d0-fb90-08dda2ee8889
