severity,root_cause,recommended_action,uc,uc_full,cc,status,receiving,issue_type,message,expected,actual,url,view_by_key
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,MiraCosta College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=108&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F108%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/108/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Mission College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=32&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F32%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/32/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Mission College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=32&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F32%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/32/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Modesto Junior College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=52&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F52%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/52/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Modesto Junior College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=52&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F52%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/52/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Monterey Peninsula College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=133&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F133%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/133/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Monterey Peninsula College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=133&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F133%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/133/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Moorpark College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=139&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F139%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/139/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Moorpark College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=139&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F139%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/139/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Moreno Valley College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=149&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F149%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/149/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Moreno Valley College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=149&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F149%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/149/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Mount San Antonio College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=62&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F62%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/62/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Mount San Antonio College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=62&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F62%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/62/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Mt. San Jacinto College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=53&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F53%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/53/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Mt. San Jacinto College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=53&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F53%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/53/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Napa Valley College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=73&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F73%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/73/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Napa Valley College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=73&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F73%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/73/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Norco College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=148&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F148%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/148/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Norco College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=148&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F148%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/148/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Ohlone College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=48&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F48%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/48/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Ohlone College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=48&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F48%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/48/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Orange Coast College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=74&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F74%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/74/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
