cc,uc,status,receiving,issue_type,message,exception_covered,expected,actual,url
Bakersfield College,University of California Los Angeles,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL C1001 (4.00)',), ('PHIL B9 (3.00)',), ('COMP B12 (3.00)',), ('ENGR B19C (4.00)',))",https://assist.org/transfer/results?year=76&institution=84&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F84%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Bakersfield College,University of California Los Angeles,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL C1001 (4.00)',), ('PHIL B9 (3.00)',), ('COMP B12 (3.00)',), ('ENGR B19C (4.00)',))",,https://assist.org/transfer/results?year=76&institution=84&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F84%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Bakersfield College,University of California Merced,fail,EE 060,missing_row,missing raw CSV row,False,"(('Not Articulated',),)",,https://assist.org/transfer/results?year=76&institution=84&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F84%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477
Barstow Community College,University of California Berkeley,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL 1B (3.00)', 'ENGL C1000 (4.00)'), ('ENGL 1B (3.00)', 'ENGL C1001 (4.00)'))",https://assist.org/transfer/results?year=76&institution=20&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F20%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Barstow Community College,University of California Berkeley,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL 1B (3.00)', 'ENGL C1000 (4.00)'), ('ENGL 1B (3.00)', 'ENGL C1001 (4.00)'))",,https://assist.org/transfer/results?year=76&institution=20&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F20%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Barstow Community College,University of California Los Angeles,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL 1B (3.00)',), ('ENGL C1001 (4.00)',), ('Not Articulated',))",https://assist.org/transfer/results?year=76&institution=20&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F20%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Barstow Community College,University of California Los Angeles,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL 1B (3.00)',), ('ENGL C1001 (4.00)',))",,https://assist.org/transfer/results?year=76&institution=20&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F20%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Barstow Community College,University of California Merced,fail,EE 060,missing_row,missing raw CSV row,False,"(('Not Articulated',),)",,https://assist.org/transfer/results?year=76&institution=20&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F20%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477
Berkeley City College,University of California Berkeley,fail,Requirement,sending_options_mismatch,sending options differ,False,"(('ENGL C1000 (4.00)',), ('ENGL 1B (4.00)',))","(('ENGL 1B (4.00)',),)",https://assist.org/transfer/results?year=76&institution=58&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F58%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Butte College,University of California Berkeley,fail,Requirement,sending_options_mismatch,sending options differ,False,"(('ENGL C1000 (4.00)',), ('ENGL C1000E (4.00)',), ('ENGL 4 (3.00)',), ('ENGL C1001 (3.00)',))","(('ENGL 4 (3.00)',), ('ENGL C1001 (3.00)',))",https://assist.org/transfer/results?year=76&institution=8&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F8%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Butte College,University of California Los Angeles,fail,Requirement,sending_options_mismatch,sending options differ,False,"(('ENGL 4 (3.00)',), ('ENGL C1001 (3.00)',), ('PHIL 8 (3.00)',), ('CMST 14 (3.00)',), ('CSCI 20 (3.00)', 'CSCI 21 (3.00)'))","(('CSCI 20 (3.00)', 'CSCI 21 (3.00)'),)",https://assist.org/transfer/results?year=76&institution=8&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F8%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Cabrillo College,University of California Berkeley,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL C1000 (3.00)', 'ENGL C1000H (3.00)', 'ENGL 1AMC (3.00)', 'ENGL 1AMCH (3.00)', 'ESL 1A (3.00)'), ('ENGL 1B (3.00)', 'ENGL 1BH (3.00)', 'ENGL 1BMC (3.00)', 'ENGL C1001 (3.00)', 'ENGL C1001H (3.00)'))",https://assist.org/transfer/results?year=76&institution=41&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F41%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Cabrillo College,University of California Berkeley,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL C1000 (3.00)',), ('ENGL C1000H (3.00)',), ('ENGL 1AMC (3.00)',), ('ENGL 1AMCH (3.00)',), ('ESL 1A (3.00)',), ('ENGL 1B (3.00)',), ('ENGL 1BH (3.00)',), ('ENGL 1BMC (3.00)',), ('ENGL C1001 (3.00)',), ('ENGL C1001H (3.00)',))",,https://assist.org/transfer/results?year=76&institution=41&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F41%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Cabrillo College,University of California Los Angeles,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL 1C (3.00)',), ('PHILO 49 (3.00)',), ('ENGL 1B (3.00)',), ('ENGL 1BMC (3.00)',), ('ENGL C1001 (3.00)',), ('CS 11 (4.00)',))",https://assist.org/transfer/results?year=76&institution=41&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F41%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Cabrillo College,University of California Los Angeles,fail,ENGCOMP 3,sending_options_mismatch,sending options differ,False,"(('ENGL C1000 (3.00)',), ('ENGL C1000H (3.00)',), ('ESL 1A (3.00)',))","(('ENGL C1000 (3.00)', 'ENGL C1000H (3.00)'), ('ESL 1A (3.00)',))",https://assist.org/transfer/results?year=76&institution=41&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F41%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Cabrillo College,University of California Los Angeles,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL 1C (3.00)',), ('PHILO 49 (3.00)',), ('ENGL 1B (3.00)',), ('ENGL 1BMC (3.00)',), ('ENGL C1001 (3.00)',), ('CS 11 (4.00)',))",,https://assist.org/transfer/results?year=76&institution=41&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F41%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Cabrillo College,University of California Merced,fail,EE 060,missing_row,missing raw CSV row,False,"(('Not Articulated',),)",,https://assist.org/transfer/results?year=76&institution=41&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F41%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477
Canada College,University of California Berkeley,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL C1000 (3.00)', 'ENGL C1000E (5.00)'), ('ENGL 110 (3.00)', 'ENGL C1001 (3.00)'))",https://assist.org/transfer/results?year=76&institution=68&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F68%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Canada College,University of California Berkeley,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL C1000 (3.00)',), ('ENGL C1000E (5.00)',), ('ENGL 110 (3.00)',), ('ENGL C1001 (3.00)',))",,https://assist.org/transfer/results?year=76&institution=68&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F68%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Canada College,University of California Los Angeles,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL 110 (3.00)',), ('ENGL C1001 (3.00)',), ('CIS 250 (3.00)',))",https://assist.org/transfer/results?year=76&institution=68&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F68%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Canada College,University of California Los Angeles,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL 110 (3.00)',), ('ENGL C1001 (3.00)',), ('CIS 250 (3.00)',))",,https://assist.org/transfer/results?year=76&institution=68&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F68%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Canada College,University of California Merced,fail,EE 060,missing_row,missing raw CSV row,False,"(('Not Articulated',),)",,https://assist.org/transfer/results?year=76&institution=68&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F68%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477
Canada College,University of California Santa Barbara,fail,MCDB 1A; MCDB 1LL,not_articulated_mismatch,sending options differ,False,"(('BIOL 230 (5.00)',),)","(('Not Articulated',),)",https://assist.org/transfer/results?year=76&institution=68&agreement=128&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F68%2Fto%2F128%2FMajor%2F9b98e159-1754-4eb0-33c4-08ddf001012b
Cerritos College,University of California Berkeley,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL C1000 (4.00)', 'ENGL C1000E (4.50)'), ('ENGL 102 (3.00)', 'ENGL C1001 (4.00)', 'ENGL 110 (4.00)', 'READ 103 (3.00)'))",https://assist.org/transfer/results?year=76&institution=104&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F104%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Cerritos College,University of California Berkeley,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL C1000 (4.00)',), ('ENGL C1000E (4.50)',), ('ENGL 102 (3.00)',), ('ENGL C1001 (4.00)',), ('ENGL 110 (4.00)',), ('READ 103 (3.00)',))",,https://assist.org/transfer/results?year=76&institution=104&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F104%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Cerritos College,University of California Los Angeles,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL 102 (3.00)',), ('ENGL C1001 (4.00)',), ('ENGL 110 (4.00)',), ('PHIL 103 (3.00)',), ('PSYC 103 (3.00)',), ('COMM 103 (3.00)',), ('CIS 180 (3.50)',), ('CIS 280X (3.50)',))",https://assist.org/transfer/results?year=76&institution=104&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F104%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Cerritos College,University of California Los Angeles,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL 102 (3.00)',), ('ENGL C1001 (4.00)',), ('ENGL 110 (4.00)',), ('PHIL 103 (3.00)',), ('PSYC 103 (3.00)',), ('COMM 103 (3.00)',), ('CIS 180 (3.50)',), ('CIS 280X (3.50)',))",,https://assist.org/transfer/results?year=76&institution=104&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F104%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Cerritos College,University of California Merced,fail,EE 060,missing_row,missing raw CSV row,False,"(('Not Articulated',),)",,https://assist.org/transfer/results?year=76&institution=104&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F104%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477
Cerro Coso Community College,University of California Berkeley,fail,Requirement,sending_options_mismatch,sending options differ,False,"(('ENGL C1000 (4.00)',), ('ENGL C102 (4.00)',), ('ENGL C102H (5.00)',))","(('ENGL C102 (4.00)',), ('ENGL C102H (5.00)',))",https://assist.org/transfer/results?year=76&institution=9&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F9%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Chabot College,University of California Berkeley,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL C1000 (4.00)',), ('ENGL 4A (4.00)', 'ENGL C1001 (4.00)'))",https://assist.org/transfer/results?year=76&institution=96&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F96%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Chabot College,University of California Berkeley,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL C1000 (4.00)',), ('ENGL 4A (4.00)',), ('ENGL C1001 (4.00)',))",,https://assist.org/transfer/results?year=76&institution=96&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F96%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Chabot College,University of California Davis,fail,PHY 009A; PHY 009B; PHY 009C,missing_row,missing raw CSV row,False,"(('PHYS 7A (5.00)', 'PHYS 7B (5.00)', 'PHYS 7C (5.00)'),)",,https://assist.org/transfer/results?year=76&institution=96&agreement=89&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F96%2Fto%2F89%2FMajor%2F37adebfb-6deb-4e42-34ac-08ddb349963e
