Semester,Course,Credits,UCs Fulfilled
1,MATH 1,5.0,UCSB; UCSC; UCSD
1,MATH 2,5.0,UCSB; UCSC; UCSD
1,MATH 3,5.0,UCSD
,,,
2,CS 20,4.0,UCSB; UCSC; UCSD
2,CS 17,4.0,UCSB; UCSC; UCSD
2,CS 1,4.0,UCSB
2,CS 2,4.0,UCSB
,,,
3,CS 21,4.0,UCSC
3,CS 31,4.0,UCSD
3,MATH 5,3.5,UCSB
3,MATH 7,3.5,UCSB; UCSD
,,,
