Semester,Course,Credits,UCs Fulfilled
1,MATH 5A,5.0,UCSB; UCSC; UCSD
1,MATH 5B,5.0,UCSB; UCSC; UCSD
1,MATH 5C,5.0,UCSD
2,CS 11,4.0,UCSB
2,CS 21,4.0,UCSB; UCSD
2,CS 23,4.0,UCSB; UCSC; UCSD
2,CS 24,4.0,UCSC
3,CS 20P,4.0,UCSC
3,CS 20J,4.0,UCSD
3,MATH 7,3.0,UCSB
3,MATH 6,3.0,UCSB; UCSD
