Semester,Course,Credits,UCs Fulfilled
1,MATH 150,5.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 155,4.0,UCB; UCD; UCI; UCLA; UCM; UCR; UCSB; UCSC; UCSD
1,MATH 265,4.0,UCB; UCLA; UCM; UCSB
1,MATH 270,4.0,UCB; UCLA; UCM; UCSB; UCSD
2,MATH 260,4.0,UCB; UCD; UCLA; UCM; UCSD
2,CS 226,4.0,UCD; UCSB; UCSC
2,MATH 226,4.0,UCSD
2,CS 113,3.0,UCD; UCM; UCSB; UCSC; UCSD
2,CS 111,3.0,UCD; UCI; UCR
3,CS 112,3.0,UCD; UCI; UCR; UCSD
3,CS 220,3.0,UCD; UCSC
3,CS 150,3.0,UCLA; UCSB
3,CS 151,3.0,UCSB
